team1,team2,toss_winner,toss_decision,venue,winner
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Narendra Modi Stadium,Kolkata Knight Riders
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Narendra Modi Stadium,Royal Challengers Bengaluru
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Arun Jaitley Stadium,Chennai Super Kings
Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Arun Jaitley Stadium,Mumbai Indians
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Narendra Modi Stadium,Delhi Capitals
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Narendra Modi Stadium,Punjab Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Arun Jaitley Stadium,Mumbai Indians
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Arun Jaitley Stadium,Rajasthan Royals
Punjab Kings,Delhi Capitals,Delhi Capitals,field,Narendra Modi Stadium,Delhi Capitals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Dubai International Cricket Stadium,Chennai Super Kings
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,bat,Zayed Cricket Stadium,Kolkata Knight Riders
Rajasthan Royals,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,Rajasthan Royals
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Delhi Capitals
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Zayed Cricket Stadium,Kolkata Knight Riders
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Zayed Cricket Stadium,Delhi Capitals
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,Punjab Kings
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Zayed Cricket Stadium,Chennai Super Kings
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Dubai International Cricket Stadium,Royal Challengers Bengaluru
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Dubai International Cricket Stadium,Sunrisers Hyderabad
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sharjah Cricket Stadium,Kolkata Knight Riders
Punjab Kings,Mumbai Indians,Mumbai Indians,field,Zayed Cricket Stadium,Mumbai Indians
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Dubai International Cricket Stadium,Royal Challengers Bengaluru
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,Chennai Super Kings
Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,Punjab Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Zayed Cricket Stadium,Rajasthan Royals
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Sharjah Cricket Stadium,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Sharjah Cricket Stadium,Royal Challengers Bengaluru
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,Kolkata Knight Riders
Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Dubai International Cricket Stadium,Delhi Capitals
Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Sharjah Cricket Stadium,Mumbai Indians
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Zayed Cricket Stadium,Sunrisers Hyderabad
Chennai Super Kings,Punjab Kings,Punjab Kings,field,Dubai International Cricket Stadium,Punjab Kings
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Sharjah Cricket Stadium,Kolkata Knight Riders
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Zayed Cricket Stadium,Mumbai Indians
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Dubai International Cricket Stadium,Royal Challengers Bengaluru
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Dubai International Cricket Stadium,Chennai Super Kings
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,bat,Sharjah Cricket Stadium,Kolkata Knight Riders
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sharjah Cricket Stadium,Kolkata Knight Riders
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Dubai International Cricket Stadium,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Wankhede Stadium,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Brabourne Stadium,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Dr DY Patil Sports Academy,Punjab Kings
Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Wankhede Stadium,Gujarat Titans
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Maharashtra Cricket Association Stadium,Rajasthan Royals
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Dr DY Patil Sports Academy,Royal Challengers Bengaluru
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Brabourne Stadium,Lucknow Super Giants
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Wankhede Stadium,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Dr DY Patil Sports Academy,Rajasthan Royals
Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Maharashtra Cricket Association Stadium,Gujarat Titans
Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Brabourne Stadium,Punjab Kings
Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,Lucknow Super Giants
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Wankhede Stadium,Royal Challengers Bengaluru
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Maharashtra Cricket Association Stadium,Kolkata Knight Riders
Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Dr DY Patil Sports Academy,Lucknow Super Giants
Punjab Kings,Gujarat Titans,Gujarat Titans,field,Brabourne Stadium,Gujarat Titans
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Maharashtra Cricket Association Stadium,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Brabourne Stadium,Delhi Capitals
Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Wankhede Stadium,Rajasthan Royals
Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,Sunrisers Hyderabad
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Dr DY Patil Sports Academy,Chennai Super Kings
Punjab Kings,Mumbai Indians,Mumbai Indians,field,Maharashtra Cricket Association Stadium,Punjab Kings
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,Gujarat Titans
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Brabourne Stadium,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Brabourne Stadium,Lucknow Super Giants
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Royal Challengers Bengaluru
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,Sunrisers Hyderabad
Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Maharashtra Cricket Association Stadium,Gujarat Titans
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Brabourne Stadium,Rajasthan Royals
Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,field,Dr DY Patil Sports Academy,Royal Challengers Bengaluru
Punjab Kings,Delhi Capitals,Delhi Capitals,field,Brabourne Stadium,Delhi Capitals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Dr DY Patil Sports Academy,Chennai Super Kings
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Rajasthan Royals
Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Dr DY Patil Sports Academy,Gujarat Titans
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Brabourne Stadium,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Lucknow Super Giants
Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Punjab Kings
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Maharashtra Cricket Association Stadium,Rajasthan Royals
Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Wankhede Stadium,Gujarat Titans
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Delhi Capitals
Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Maharashtra Cricket Association Stadium,Lucknow Super Giants
Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,bat,Brabourne Stadium,Gujarat Titans
Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Dr DY Patil Sports Academy,Mumbai Indians
Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Wankhede Stadium,Lucknow Super Giants
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Maharashtra Cricket Association Stadium,Chennai Super Kings
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Wankhede Stadium,Kolkata Knight Riders
Gujarat Titans,Punjab Kings,Gujarat Titans,bat,Dr DY Patil Sports Academy,Punjab Kings
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Maharashtra Cricket Association Stadium,Royal Challengers Bengaluru
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Brabourne Stadium,Delhi Capitals
Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Brabourne Stadium,Mumbai Indians
Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Wankhede Stadium,Rajasthan Royals
Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Maharashtra Cricket Association Stadium,Lucknow Super Giants
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Wankhede Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Dr DY Patil Sports Academy,Kolkata Knight Riders
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Maharashtra Cricket Association Stadium,Gujarat Titans
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,Delhi Capitals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Brabourne Stadium,Punjab Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Maharashtra Cricket Association Stadium,Kolkata Knight Riders
Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Wankhede Stadium,Gujarat Titans
Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Brabourne Stadium,Rajasthan Royals
Delhi Capitals,Punjab Kings,Punjab Kings,field,Dr DY Patil Sports Academy,Delhi Capitals
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Sunrisers Hyderabad
Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Dr DY Patil Sports Academy,Lucknow Super Giants
Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,bat,Wankhede Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Brabourne Stadium,Rajasthan Royals
Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Wankhede Stadium,Punjab Kings
Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Eden Gardens,Gujarat Titans
Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,field,Eden Gardens,Royal Challengers Bengaluru
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Narendra Modi Stadium,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Narendra Modi Stadium,Gujarat Titans
Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Narendra Modi Stadium,Gujarat Titans
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Cricket Association IS Bindra Stadium,Punjab Kings
Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Rajasthan Royals
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,MA Chidambaram Stadium,Chennai Super Kings
Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Arun Jaitley Stadium,Gujarat Titans
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Barsapara Cricket Stadium,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Eden Gardens,Kolkata Knight Riders
Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Barsapara Cricket Stadium,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Chennai Super Kings
Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Narendra Modi Stadium,Kolkata Knight Riders
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,field,M Chinnaswamy Stadium,Lucknow Super Giants
Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Arun Jaitley Stadium,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Rajasthan Royals
Punjab Kings,Gujarat Titans,Gujarat Titans,field,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Sunrisers Hyderabad
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Punjab Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Narendra Modi Stadium,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Mumbai Indians
Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Lucknow Super Giants
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bengaluru
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium,Delhi Capitals
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Chennai Super Kings
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Gujarat Titans
Punjab Kings,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Punjab Kings
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Rajiv Gandhi International Stadium,Delhi Capitals
Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Narendra Modi Stadium,Gujarat Titans
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals
Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants
Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,Eden Gardens,Gujarat Titans
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Arun Jaitley Stadium,Sunrisers Hyderabad
Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,MA Chidambaram Stadium,Punjab Kings
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Wankhede Stadium,Mumbai Indians
Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,bat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Royal Challengers Bengaluru
Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,Narendra Modi Stadium,Delhi Capitals
Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,
Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Rajiv Gandhi International Stadium,Kolkata Knight Riders
Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Sawai Mansingh Stadium,Gujarat Titans
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Chennai Super Kings
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Arun Jaitley Stadium,Delhi Capitals
Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Narendra Modi Stadium,Gujarat Titans
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sawai Mansingh Stadium,Sunrisers Hyderabad
Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Eden Gardens,Kolkata Knight Riders
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,Rajasthan Royals
Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Wankhede Stadium,Mumbai Indians
Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Rajiv Gandhi International Stadium,Lucknow Super Giants
Punjab Kings,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium,Punjab Kings
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Sawai Mansingh Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,MA Chidambaram Stadium,Kolkata Knight Riders
Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Narendra Modi Stadium,Gujarat Titans
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Delhi Capitals,Punjab Kings,Punjab Kings,field,Himachal Pradesh Cricket Association Stadium,Delhi Capitals
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Rajiv Gandhi International Stadium,Royal Challengers Bengaluru
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Himachal Pradesh Cricket Association Stadium,Rajasthan Royals
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Arun Jaitley Stadium,Chennai Super Kings
Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Lucknow Super Giants
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,M Chinnaswamy Stadium,Gujarat Titans
Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,MA Chidambaram Stadium,Chennai Super Kings
Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,MA Chidambaram Stadium,Mumbai Indians
Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Narendra Modi Stadium,Gujarat Titans
Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Narendra Modi Stadium,Chennai Super Kings
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,MA Chidambaram Stadium,Chennai Super Kings
Delhi Capitals,Punjab Kings,Punjab Kings,field,Maharaja Yadavindra Singh International Cricket Stadium,Punjab Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,Kolkata Knight Riders
Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals
Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Narendra Modi Stadium,Gujarat Titans
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,MA Chidambaram Stadium,Chennai Super Kings
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Sawai Mansingh Stadium,Rajasthan Royals
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,M Chinnaswamy Stadium,Kolkata Knight Riders
Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Narendra Modi Stadium,Gujarat Titans
Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,Rajasthan Royals
Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Lucknow Super Giants
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kolkata Knight Riders
Gujarat Titans,Punjab Kings,Punjab Kings,field,Narendra Modi Stadium,Punjab Kings
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Sawai Mansingh Stadium,Rajasthan Royals
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,Mumbai Indians
Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Maharaja Yadavindra Singh International Cricket Stadium,Sunrisers Hyderabad
Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Sawai Mansingh Stadium,Gujarat Titans
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Delhi Capitals
Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Maharaja Yadavindra Singh International Cricket Stadium,Rajasthan Royals
Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Chennai Super Kings
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Sunrisers Hyderabad
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,Rajasthan Royals
Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Narendra Modi Stadium,Delhi Capitals
Mumbai Indians,Punjab Kings,Punjab Kings,field,Maharaja Yadavindra Singh International Cricket Stadium,Mumbai Indians
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Arun Jaitley Stadium,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Eden Gardens,Kolkata Knight Riders
Punjab Kings,Gujarat Titans,Punjab Kings,bat,Maharaja Yadavindra Singh International Cricket Stadium,Gujarat Titans
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Sawai Mansingh Stadium,Rajasthan Royals
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,MA Chidambaram Stadium,Lucknow Super Giants
Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Arun Jaitley Stadium,Delhi Capitals
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Rajiv Gandhi International Stadium,Royal Challengers Bengaluru
Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Eden Gardens,Punjab Kings
Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Arun Jaitley Stadium,Delhi Capitals
Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Rajasthan Royals
Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Narendra Modi Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,MA Chidambaram Stadium,Chennai Super Kings
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Eden Gardens,Kolkata Knight Riders
Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Chennai Super Kings,Punjab Kings,Punjab Kings,field,MA Chidambaram Stadium,Punjab Kings
