team1,team2,toss_winner,toss_decision,venue,winner
Punjab Kings,Rajasthan Royals,Punjab Kings,field,Kingsmead,Rajasthan Royals
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Delhi Capitals
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,SuperSport Park,Sunrisers Hyderabad
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Rajasthan Royals
Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,SuperSport Park,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,Delhi Capitals
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,De Beers Diamond Oval,Punjab Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,De Beers Diamond Oval,Chennai Super Kings
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,St George's Park,Mumbai Indians
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,New Wanderers Stadium,Delhi Capitals
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,De Beers Diamond Oval,Sunrisers Hyderabad
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,SuperSport Park,Royal Challengers Bengaluru
Punjab Kings,Mumbai Indians,Punjab Kings,bat,SuperSport Park,Mumbai Indians
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Kingsmead,Delhi Capitals
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Kingsmead,Royal Challengers Bengaluru
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Kingsmead,Rajasthan Royals
Delhi Capitals,Punjab Kings,Punjab Kings,field,OUTsurance Oval,Punjab Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,St George's Park,Chennai Super Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,New Wanderers Stadium,Sunrisers Hyderabad
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,New Wanderers Stadium,Punjab Kings
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,OUTsurance Oval,Delhi Capitals
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,SuperSport Park,Kolkata Knight Riders
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,bat,New Wanderers Stadium,Royal Challengers Bengaluru
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kingsmead,Kolkata Knight Riders
Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Kingsmead,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Delhi Capitals,field,SuperSport Park,Delhi Capitals
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,SuperSport Park,Royal Challengers Bengaluru
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,SuperSport Park,Sunrisers Hyderabad
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,New Wanderers Stadium,Royal Challengers Bengaluru
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,field,New Wanderers Stadium,Sunrisers Hyderabad
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians
Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Cricket Association Stadium,Delhi Capitals
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,MA Chidambaram Stadium,Sunrisers Hyderabad
Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Sardar Patel Stadium,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,bat,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Eden Gardens,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,Mumbai Indians
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Feroz Shah Kotla,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Barabati Stadium,Sunrisers Hyderabad
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sardar Patel Stadium,Rajasthan Royals
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Brabourne Stadium,Royal Challengers Bengaluru
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Barabati Stadium,Sunrisers Hyderabad
Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,MA Chidambaram Stadium,Punjab Kings
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Brabourne Stadium,Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Punjab Kings,Rajasthan Royals,Punjab Kings,field,Punjab Cricket Association Stadium,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Brabourne Stadium,Mumbai Indians
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Delhi Capitals
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sardar Patel Stadium,Rajasthan Royals
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Punjab Cricket Association Stadium,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Sardar Patel Stadium,Rajasthan Royals
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,Mumbai Indians
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,Delhi Capitals
Mumbai Indians,Punjab Kings,Mumbai Indians,field,Brabourne Stadium,Mumbai Indians
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,MA Chidambaram Stadium,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Feroz Shah Kotla,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,bat,Punjab Cricket Association Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,Eden Gardens,Punjab Kings
Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,bat,Feroz Shah Kotla,Delhi Capitals
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Vidarbha Cricket Association Stadium,Rajasthan Royals
